index,date,symbol,price
118791,2011-01-04,GD,70.230003
118792,2011-01-04,GE,18.34
118793,2011-01-04,GGP,15.660001999999999
118794,2011-01-04,GILD,36.869999
118795,2011-01-04,GIS,35.630001
118796,2011-01-04,GLW,19.16
118797,2011-01-04,GM,37.099998
118798,2011-01-04,GOOG,605.621034
118799,2011-01-04,GOOGL,605.6199780000001
118800,2011-01-04,GPC,52.400002
118801,2011-01-04,GPN,46.91
118802,2011-01-04,GPS,22.24
118803,2011-01-04,GRMN,31.209999
118804,2011-01-04,GS,173.869995
118805,2011-01-04,GT,12.21
118806,2011-01-04,GWW,140.0
118807,2011-01-04,HAL,40.98
118808,2011-01-04,HAR,47.689999
118809,2011-01-04,HAS,46.580002
118810,2011-01-04,HBAN,7.26
118811,2011-01-04,HBI,25.610001
118812,2011-01-04,HCN,48.5
118813,2011-01-04,HCP,37.570003
118814,2011-01-04,HD,35.27
118815,2011-01-04,HES,78.16999799999999
118816,2011-01-04,HIG,27.91
118817,2011-01-04,HOG,35.009997999999996
118818,2011-01-04,HOLX,19.200001
118819,2011-01-04,HON,54.259997999999996
118820,2011-01-04,HP,49.290001000000004
118821,2011-01-04,HPQ,43.269999
118822,2011-01-04,HRB,12.52
118823,2011-01-04,HRL,51.169998
118824,2011-01-04,HRS,45.130001
118825,2011-01-04,HSIC,62.73
118826,2011-01-04,HST,18.389999
118827,2011-01-04,HSY,46.880001
118828,2011-01-04,HUM,54.959998999999996
118829,2011-01-04,IBM,147.559998
118830,2011-01-04,ICE,119.18999699999999
118831,2011-01-04,IDXX,69.650002
118832,2011-01-04,IFF,56.040001000000004
118833,2011-01-04,ILMN,64.25
118834,2011-01-04,INTC,21.120001000000002
118835,2011-01-04,INTU,49.790001000000004
118836,2011-01-04,IP,28.080004
118837,2011-01-04,IPG,10.74
118838,2011-01-04,IR,46.780002
118839,2011-01-04,IRM,24.869998000000002
118840,2011-01-04,ISRG,271.420013
118841,2011-01-04,ITW,54.470001
118842,2011-01-04,IVZ,24.389999
118843,2011-01-04,JBHT,41.82
118844,2011-01-04,JCI,42.290053
118845,2011-01-04,JEC,47.0
118846,2011-01-04,JNJ,63.130001
118847,2011-01-04,JNPR,37.509997999999996
118848,2011-01-04,JPM,43.779999
118849,2011-01-04,JWN,43.310001
118850,2011-01-04,K,50.939999
118851,2011-01-04,KEY,9.05
118852,2011-01-04,KIM,18.41
118853,2011-01-04,KLAC,38.700001
118854,2011-01-04,KMB,62.85
118855,2011-01-04,KMX,32.549999
118856,2011-01-04,KO,65.019997
118857,2011-01-04,KR,21.780001000000002
118858,2011-01-04,KSS,54.279999
118859,2011-01-04,KSU,48.709998999999996
